,id,followers,genres,name,popularity
9799,0gWNSMYCSHF4wxIs1XTSDh,47083,['nashville sound'],Bill Anderson,39
9800,02rd0anEWfMtF7iMku9uor,1357198,"['contemporary country', 'country', 'country dawn', 'country rock', 'oklahoma country']",Reba McEntire,66
9801,7zY0DMisq1oYXvNNgGwHBY,113915,"['dominican pop', 'pop reggaeton', 'urbano espanol']",Juanfran,63
9802,6zo2w5Asb1DMFZErdRDrrK,47249,['portuguese rock'],GNR,43
9803,2OJEUmIIPsTAUjil4dOz70,0,[],Radclyffe Hall,0
9804,7xWpFH7TehhpsmfKzJMfUJ,264,"['classic iskelma', 'humppa']",Teijo Joutsela,21
9805,1cYy6SfKdpAPH83wIR7GBb,77940,"['classic indo pop', 'dangdut', 'indonesian psychedelia']",Panbers,43
9806,0x9kvyZy01Kao3YsnYr60V,1025,['argentine hip hop'],Jesus Vazquez,26
9807,0C8ZW7ezQVs4URX5aX7Kqx,26692413,"['dance pop', 'pop', 'post-teen pop']",Selena Gomez,89
9808,71WtMHUVNtv2QWV712cDGF,45141,['turkish pop'],Ufuk Çalışkan,45
9809,0SLgDHUe2DpU67za0xj2fi,161,"['classical soprano', 'italian soprano']",Rosanna Carteri,12
9810,53fiE3zGXMTR5HjBTQARWI,416,['latvian pop'],100 Debija,14
9811,2nvKpWcP8etYTq4JrRiUiy,237766,"['adult standards', 'brill building pop', 'bubblegum pop', 'classic uk pop', 'europop', 'mellow gold', 'rock-and-roll', 'soft rock']",Cliff Richard,60
9812,01e2lCvLZ4fLUIRy68nptH,104497,"['deep euro house', 'house', 'tropical house']",Wankelmut,62
9813,5Znx4PG5UsUitigaJnmZX3,442316,"['afrofuturismo brasileiro', 'brazilian hip hop', 'brazilian reggae', 'funk carioca', 'rap df', 'rap feminino nacional']",Flora Matos,56
9814,0iwhPeDYMRoXZYNvY8c4C9,122,[],Camarata Chorus and Orchestra,14
9815,0XLP18nHemdh5CQhoM3RjZ,23097,['turkish hip hop'],Ege Çubukçu,45
9816,2W9dD4SfW7p19JtzRgWGjz,7548,['surf music'],The Marketts,37
9817,2siHvYaxjaW5rKVRiIrMYH,249060,['dance pop'],Anastacia,63
9818,2Qa4UBwzhEFt1Tpj95cZls,7010,"['acid trance', 'bubble trance', 'dream trance', 'german techno', 'german trance']",Future Breeze,51
9819,5kPsbSWuadXAb2wheoVRkf,68179,"[""australian children's music"", 'australian country', 'australian pop', 'australian rock', 'bush ballad']",John Williamson,54
